# TypeScript no-regression baseline
# Format: <count>	<normalized diagnostic key>
# Key: <file> :: <TS code> :: <message> (line/column stripped)
1	__raw__ :: Type '{ mode: unknown; additionalWorkingDirectories: { readonly forEach: (callbackfn: (value: { readonly path: string; readonly source: WorkingDirectorySource; }, key: string, map: ReadonlyMap<...>) => void, thisArg?: any) => void; ... 6 more ...; readonly [Symbol.iterator]: () => MapIterator<...>; }; ... 8 more ...; preP...' is not assignable to type '{ readonly mode: InternalPermissionMode; readonly additionalWorkingDirectories: { readonly forEach: (callbackfn: (value: { readonly path: string; readonly source: PermissionRuleSource; }, key: string, map: ReadonlyMap<...>) => void, thisArg?: any) => void; ... 6 more ...; readonly [Symbol.iterator]: () => MapIterato...'.
1	__raw__ :: Type '{ name: string; content: unknown; }' is not assignable to type '{ name: string; content: string; }'.
1	__raw__ :: Type '{ ok: true; closure: string[]; }' is missing the following properties from type '{ ok: false; reason: "cross-marketplace"; dependency: string; requiredBy: string; }': reason, dependency, requiredBy
1	__raw__ :: Type '{ ok: true; closure: string[]; }' is not assignable to type '({ ok: false; reason: "cycle"; chain: string[]; } & { ok: false; }) | ({ ok: false; reason: "not-found"; missing: string; requiredBy: string; } & { ok: false; }) | ({ ok: false; reason: "cross-marketplace"; dependency: string; requiredBy: string; } & { ...; })'.
1	__raw__ :: Type '{ ok: true; closure: string[]; }' is not assignable to type '{ ok: false; reason: "cross-marketplace"; dependency: string; requiredBy: string; } & { ok: false; }'.
1	__raw__ :: Type '{ print?: string | true; outputFormat?: string; }' is not assignable to type '{ print?: string | boolean; outputFormat: string; }'.
2	__raw__ :: Type '{ source?: { source: "url"; url: string; headers?: Record<string, string>; } | { source: "github"; repo: string; ref?: string; path?: string; sparsePaths?: string[]; } | { source: "git"; url: string; ref?: string; path?: string; sparsePaths?: string[]; } | ... 5 more ... | { ...; }; installLocation?: string; autoUpd...' is not assignable to type 'DeclaredMarketplace'.
1	__raw__ :: Type '{ timeoutMs: number; key: string; text: string; color: string; priority: string; }' is not assignable to type 'BaseNotification'.
1	__raw__ :: Type '{ timeoutMs: number; key: string; text: string; color: string; priority: string; }' is not assignable to type 'Result'.
1	__raw__ :: Type '{ timeoutMs: number; key: string; text: string; color: string; priority: string; }' is not assignable to type 'TextNotification'.
1	__raw__ :: Type '{ toolUseId: unknown; content: unknown; size: number; }' is not assignable to type 'ToolResultCandidate'.
1	__raw__ :: Type '{ ttftMs: number; type: "stream_event"; event: BetaRawMessageStreamEvent; }' is not assignable to type 'StreamEvent'.
2	__raw__ :: Type '{ type: "addDirectories"; directories: any[]; destination: string; }' is not assignable to type '{ type: "addDirectories"; destination: PermissionUpdateDestination; directories: string[]; }'.
1	__raw__ :: Type '{ type: "attachment"; uuid: string; timestamp: string | number; attachment: { type: string; count: number; }; }' is not assignable to type 'AttachmentMessage'.
5	__raw__ :: Type '{ type: "clear_thinking_20251015"; keep: "all" | { type: "thinking_turns"; value: number; }; }' is not assignable to type 'BetaClearToolUses20250919Edit'.
1	__raw__ :: Type '{ type: "system"; content: string; level: string; subtype: string; compactMetadata: CompactMetadata; uuid: string; timestamp: string; }[]' is missing the following properties from type 'BaseMessage': type, message
1	__raw__ :: Type '{ type: "system"; content: string; level: string; subtype: string; compactMetadata: CompactMetadata; uuid: string; timestamp: string; }[]' is not assignable to type 'Message | readonly Message[]'.
1	__raw__ :: Type '{ type: "system"; content: string; level: string; subtype: string; compactMetadata: CompactMetadata; uuid: string; timestamp: string; }[]' is not assignable to type 'StreamEvent'.
1	__raw__ :: Type '{ type: "system"; subtype: "compact_boundary"; session_id: SessionId; uuid: string; compact_metadata: unknown; }' is not comparable to type '{ type: "compact_boundary"; }'.
1	__raw__ :: Type '{ type: "system"; subtype: string; content: string; timestamp: string; uuid: `${string}-${string}-${string}-${string}-${string}`; level: string; }' is not assignable to type 'SystemMessage'.
1	__raw__ :: Type '{ type: "user"; message: { content: string; role?: string; }; session_id: SessionId; parent_tool_use_id: null; uuid: string; timestamp: string | number; isReplay: boolean; isSynthetic: unknown; }' is not comparable to type '{ type: "user_replay"; }'.
1	__raw__ :: Type '{ type: "user"; message: { role: "user"; content: any; }; session_id: SessionId; parent_tool_use_id: null; uuid: any; timestamp: string | number; isReplay: boolean; }' is not comparable to type '{ type: "user_replay"; }'.
1	__raw__ :: Type '{ type: "user"; message: any; session_id: `${string}-${string}-${string}-${string}-${string}`; parent_tool_use_id: null; uuid: any; timestamp: any; isReplay: boolean; }' is not comparable to type '{ type: "user_replay"; }'.
1	__raw__ :: Type '{ type: "user"; message: MessagePayload & { role?: "user" | string; }; session_id: SessionId; parent_tool_use_id: null; uuid: string; timestamp: string | number; isReplay: boolean; }' is not comparable to type '{ type: "user_replay"; }'.
2	__raw__ :: Type '{ type: string; isMeta?: boolean; message?: { content: { type: string; name?: string; }[]; }; }' is not assignable to type 'BaseMessage'.
1	__raw__ :: Type '{ type: string; isMeta?: boolean; message?: { content: { type: string; name?: string; }[]; }; }' is not assignable to type 'Message'.
1	__raw__ :: Type '{ type: string; isMeta?: boolean; message?: { content: { type: string; name?: string; }[]; }; }' is not assignable to type 'MessageWithoutProgress'.
2	__raw__ :: Type '{ type: string; isMeta?: boolean; message?: { content: { type: string; name?: string; }[]; }; }' is not assignable to type 'StreamEvent'.
1	__raw__ :: Type '{ type: string; isMeta?: boolean; message?: { content: { type: string; name?: string; }[]; }; }[]' is not assignable to type 'Message[]'.
1	__raw__ :: Type '{ type: string; isMeta?: boolean; message?: { content: { type: string; name?: string; }[]; }; }[]' is not assignable to type 'MessageWithoutProgress[]'.
21	__raw__ :: Type '{}' has no call signatures.
3	__raw__ :: Type '{}' is missing the following properties from type '{ session_id: string; parent_tool_use_id: string; }': session_id, parent_tool_use_id
1	__raw__ :: Type '{}' is missing the following properties from type '{ session_id: string; parent_tool_use_id: string; message: { id: string; }; }': session_id, parent_tool_use_id, message
1	__raw__ :: Type '{}' is missing the following properties from type '{ type: "delete"; cache_reference: string; }': type, cache_reference
2	__raw__ :: Type '{}' is missing the following properties from type 'APIError<number, Headers, Object>': status, headers, error, requestID, and 2 more.
1	__raw__ :: Type '{}' is missing the following properties from type 'BetaMessageDeltaUsage': cache_creation_input_tokens, cache_read_input_tokens, input_tokens, output_tokens, server_tool_use
4	__raw__ :: Type '{}' is missing the following properties from type 'BetaUsage': cache_creation, cache_creation_input_tokens, cache_read_input_tokens, input_tokens, and 3 more.
4	__raw__ :: Type '{}' is missing the following properties from type 'EventPayload': uuid, type
1	__raw__ :: Type '{}' is missing the following properties from type 'FileStateCache': cache, get, set, has, and 10 more.
1	__raw__ :: Type '{}' is missing the following properties from type 'Omit<CustomAgentDefinition, "location">': source, agentType, getSystemPrompt, whenToUse
2	__raw__ :: Type '{}' is missing the following properties from type 'string[]': length, pop, push, concat, and 29 more.
1	__raw__ :: Type 'AnyValue[]' is missing the following properties from type 'EventMetadata': model, sessionId, userType, envContext, and 5 more.
1	__raw__ :: Type 'AssistantMessage' is not assignable to type 'MessagePayload & { role?: string; }'.
22	__raw__ :: Type 'AttachmentMessage' is not assignable to type '{ type: "hook_result"; }'.
1	__raw__ :: Type 'AttachmentMessage' is not assignable to type 'HookResultMessage'.
1	__raw__ :: Type 'BashProgress' is missing the following properties from type 'ShellProgress': output, fullOutput
6	__raw__ :: Type 'BetaContentBlock' is not assignable to type 'MessageContentBlock'.
6	__raw__ :: Type 'BetaContentBlock[]' is not assignable to type 'MessageContentBlock[]'.
6	__raw__ :: Type 'BetaToolUseBlock' is not assignable to type 'MessageContentBlock'.
5	__raw__ :: Type 'ContentBlockParam' is not assignable to type 'MessageContentBlock'.
1	__raw__ :: Type 'ContentBlockParam' is not assignable to type 'SDKContentBlock'.
5	__raw__ :: Type 'ContentBlockParam[]' is not assignable to type 'MessageContentBlock[]'.
1	__raw__ :: Type 'ContentBlockParam[]' is not assignable to type 'SDKContentBlock[]'.
2	__raw__ :: Type 'ContentBlockParam[]' is not assignable to type 'string | MessageContentBlock[]'.
1	__raw__ :: Type 'ContentBlockParam[]' is not assignable to type 'string | SDKContentBlock[]'.
1	__raw__ :: Type 'ContentBlockParam[]' is not assignable to type 'string'.
5	__raw__ :: Type 'ContextEditStrategy' is not assignable to type 'BetaClearToolUses20250919Edit'.
5	__raw__ :: Type 'ContextEditStrategy[]' is not assignable to type 'BetaClearToolUses20250919Edit[]'.
5	__raw__ :: Type 'Dirent<string>' is not assignable to type 'Dirent<NonSharedBuffer>'.
2	__raw__ :: Type 'HookResultMessage' is not assignable to type '{ type: "progress"; }'.
2	__raw__ :: Type 'HookResultMessage' is not assignable to type 'ProgressMessage'.
1	__raw__ :: Type 'HookResultMessage' is not assignable to type 'UserMessage | AssistantMessage | SystemMessage | AttachmentMessage | ProgressMessage'.
4	__raw__ :: Type 'import("/usr/local/develop/open-source/claude-code/entrypoints/sdk/coreTypes.generated").PermissionUpdate' is not assignable to type 'import("/usr/local/develop/open-source/claude-code/types/permissions").PermissionUpdate'.
1	__raw__ :: Type 'IteratorResult<string, any>' is not assignable to type 'IteratorResult<PromptInputMode, any>'.
1	__raw__ :: Type 'IteratorYieldResult<string>' is not assignable to type 'IteratorResult<PromptInputMode, any>'.
1	__raw__ :: Type 'IteratorYieldResult<string>' is not assignable to type 'IteratorYieldResult<PromptInputMode>'.
1	__raw__ :: Type 'Message' is not assignable to type 'UserMessage | AssistantMessage | SystemMessage | AttachmentMessage | ProgressMessage'.
1	__raw__ :: Type 'Message[] | { type: "system"; content: string; level: string; subtype: string; compactMetadata: CompactMetadata; uuid: string; timestamp: string; }[]' is not assignable to type 'Message | readonly Message[]'.
1	__raw__ :: Type 'MessageContentBlock | ContentBlockParam' is not assignable to type 'MessageContentBlock'.
4	__raw__ :: Type 'MessageContentBlock' is missing the following properties from type '{ readonly content: readonly { readonly text: string; readonly type: "text"; readonly cache_control?: { readonly type: "ephemeral"; readonly ttl?: "5m" | "1h"; }; readonly citations?: readonly ({ readonly cited_text: string; ... 4 more ...; readonly type: "char_location"; } | { ...; } | { ...; } | { ...; } | { ...; ...': content, source, title
1	__raw__ :: Type 'MessageContentBlock' is missing the following properties from type '{ tool_use_id: string; content: { type: string; }; }': tool_use_id, content
2	__raw__ :: Type 'MessageContentBlock' is missing the following properties from type 'BetaMCPToolUseBlock': id, input, name, server_name
7	__raw__ :: Type 'MessageContentBlock' is missing the following properties from type 'BetaMCPToolUseBlockParam': id, input, name, server_name
15	__raw__ :: Type 'MessageContentBlock' is missing the following properties from type 'SearchResultBlockParam': content, source, title
1	__raw__ :: Type 'MessageContentBlock' is missing the following properties from type 'ToolUseBlock': id, input, name
1	__raw__ :: Type 'MessageContentBlock' is missing the following properties from type 'ToolUseBlockParam': id, input, name
4	__raw__ :: Type 'MessageContentBlock' is not assignable to type '{ readonly text: string; readonly type: "text"; readonly cache_control?: { readonly type: "ephemeral"; readonly ttl?: "5m" | "1h"; }; readonly citations?: readonly ({ readonly cited_text: string; readonly document_index: number; readonly document_title: string; readonly end_char_index: number; readonly start_char_in...'.
3	__raw__ :: Type 'MessageContentBlock' is not assignable to type 'BetaContentBlockParam'.
1	__raw__ :: Type 'MessageContentBlock' is not assignable to type 'ContentBlockParam | ContentBlock'.
9	__raw__ :: Type 'MessageContentBlock' is not assignable to type 'ContentBlockParam'.
1	__raw__ :: Type 'MessageContentBlock' is not assignable to type 'TextBlockParam | ImageBlockParam | DocumentBlockParam | SearchResultBlockParam | ThinkingBlockParam | ... 4 more ... | WebSearchToolResultBlockParam'.
3	__raw__ :: Type 'MessageContentBlock[]' is not assignable to type 'BetaContentBlockParam[]'.
6	__raw__ :: Type 'MessageContentBlock[]' is not assignable to type 'ContentBlockParam[]'.
4	__raw__ :: Type 'MessageContentBlock[]' is not assignable to type 'readonly ({ readonly text: string; readonly type: "text"; readonly cache_control?: { readonly type: "ephemeral"; readonly ttl?: "5m" | "1h"; }; readonly citations?: readonly ({ readonly cited_text: string; readonly document_index: number; readonly document_title: string; readonly end_char_index: number; readonly sta...'.
